RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
;Days to flowering in long days;Cauline leaf number in long days;Rosette leaf number in long days;Total leaf number in long days;Days to flowering in short days;Cauline leaf number in short days;Rosette leaf number in short days;Total leaf number in short days;Chromosome;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_1;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_2;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_3;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_4;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5;Chr_5
;;;;;;;;;Position;197433;592464;1149096;2991798;3398022;3503792;3645216;3678179;3941262;4175290;4529095;4569320;5290295;5592553;6290164;8014943;8384891;8682419;9058932;9343234;9973016;10641417;10841392;11159587;11362011;13002329;13395451;15633694;15916053;15976827;16395208;16568120;16874305;17252372;17355484;17780009;18433043;18632610;19130570;19505630;20215927;20383970;21079875;22387873;22492711;22569092;22793052;23270329;23773807;24794774;26258979;26856594;26992815;27649784;28190123;29897892;172277;311073;592553;839342;1737436;2037121;2364657;3541213;4081362;4263285;6654153;7237666;7432996;7650078;8370574;8370574;8498153;8957827;9428891;9653034;10049851;11456847;11564515;12435063;14696923;15251663;16908054;18252715;18602635;18752604;19601674;580026;2382316;2967832;3895793;5140793;6890596;8346842;8535266;9341833;9942057;10055557;10790463;10995480;11192052;11398071;12647139;15879997;16883046;17381234;17882280;18590590;18779784;19627769;19930188;20327825;20428108;20728533;21127342;21308958;21632379;22146206;23053771;23411789;1144876;1542316;2132994;2440917;4877081;5077409;5591100;5591100;6272449;6675797;7077771;7857754;8078388;8177364;8297594;8375566;8975650;9376858;9676797;10275867;10482038;11325921;11487891;11877837;12326053;12978424;13078113;13179575;14075640;14935788;17257880;242093;342177;576287;1586121;2296325;2899849;3092584;4235132;5318924;6221773;8562462;9447889;13272250;14215995;14661116;14765903;15065018;15171770;16259147;17171242;17692511;17864866;18065657;18258413;18464494;21318883;21318883;22116605;23114998;24996339
1;17.58;3.42;12.17;15.58;56.92;12.42;50.92;63.33;;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;A;H;H;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;B
2;17;2.58;11.33;13.92;53.33;8.42;41.58;50;;A;A;A;A;A;A;A;A;A;H;-;-;H;H;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;H;H;H;B;B;B;B;B
3;27.5;8.08;26.92;35;69.17;15.17;66.92;82.08;;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;H;H;H;H;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;H;H;A;A;A;A;A;A;A;A;A;H;H;B;B;A;A;A;A;A
4;17.42;4.5;13.67;18.17;49;11.5;47.75;59.25;;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;H;-;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;B;-;H;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B
5;21.8;7.2;23.1;30.3;70.33;14.33;71.42;85.75;;B;-;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;-;A;A;A;A;B;B;B;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;H;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;-;A;A;B;B;B;B;B;B;-;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
6;19.33;5.33;15.58;20.92;66.91;20.45;68.64;89.09;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;-;B;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;-;A;A;A;-;A;A;A;A;B;B;B;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
7;24;9.08;25.92;35;68.25;16.82;58.64;75.45;;A;A;A;A;A;A;H;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;B;B;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B
8;14.75;2.83;8;10.83;46;7.92;36.75;44.67;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;-;-;B;B;B;B;B;B;B;B;A;A;-;A;B;B;A;-;B;B;H;H;H;-;-;H;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B
